Game,Team,OPS,Temp,Rain,Wind
2021-04-01,COL,0.76842105,,,
2021-04-01,SEA,0.59883721,,,
2021-04-01,KCR,1.13157895,,,
2021-04-01,MIA,0.22903226,,,
2021-04-01,MIL,0.64090909,,,
2021-04-01,PHI,0.63888889,,,
2021-04-01,CIN,0.94906743,,,
2021-04-01,DET,0.58571429,,,
2021-04-01,OAK,0.55238096,,,
2021-04-01,SDP,1.00400641,,,
2021-04-01,NYY,0.54982579,,,
2021-04-01,LAA,0.59411765,,,
2021-04-01,CHC,0.33566433,,,
2021-04-02,MIA,0.72222222,,,
2021-04-02,BOS,0.23248054,,,
2021-04-02,SDP,0.98015873,,,
2021-04-02,OAK,0.75757575,,,
2021-04-02,LAA,0.81071429,,,
2021-04-02,COL,0.84169884,,,
2021-04-02,SEA,0.57603687,,,
2021-04-03,MIL,0.13571429,,,
2021-04-03,DET,0.80098684,,,
2021-04-03,SEA,0.90417457,,,
2021-04-03,PHI,0.75555556,,,
2021-04-03,MIA,1.19523809,,,
2021-04-03,BOS,0.51269451,,,
2021-04-03,LAA,0.73852813,,,
2021-04-03,CIN,0.98188153,,,
2021-04-03,NYY,0.84320558,,,
2021-04-03,SDP,0.84738676,,,
2021-04-03,CHC,0.7249104,,,
2021-04-03,OAK,0.36059114,,,
2021-04-03,COL,0.77027027,,,
2021-04-03,KCR,1.13928571,,,
2021-04-04,OAK,0.4398827,,,
2021-04-04,PHI,0.7,,,
2021-04-04,MIL,0.50347222,,,
2021-04-04,COL,0.37536657,,,
2021-04-04,DET,0.46296297,,,
2021-04-04,CHC,0.55337691,,,
2021-04-04,NYY,0.43792766,,,
2021-04-04,LAA,0.97575758,,,
2021-04-04,CIN,0.88838612,,,
2021-04-04,SDP,0.62828947,,,
2021-04-04,BOS,0.57232143,,,
2021-04-04,KCR,0.58333333,,,
2021-04-05,BOS,1.10230352,,,
2021-04-05,SEA,0.41666667,,,
2021-04-05,PHI,0.59939148,,,
2021-04-05,NYY,0.78777589,,,
2021-04-05,OAK,0.52786377,,,
2021-04-05,DET,0.74324324,,,
2021-04-05,LAA,0.77259684,,,
2021-04-05,MIA,0.42211982,,,
2021-04-05,CLE,0.36160714,,,
2021-04-05,CHC,0.94212963,,,
2021-04-05,SDP,0.60278746,,,
2021-04-05,CIN,0.82695374,,,
2021-04-05,TEX,0.41607143,,,
2021-04-06,SEA,0.5972973,,,
2021-04-06,LAA,0.58617424,,,
2021-04-06,PHI,0.74686882,,,
2021-04-06,OAK,0.45588235,,,
2021-04-06,MIA,0.6,,,
2021-04-06,WSN,0.79638009,,,
2021-04-06,COL,0.80319149,,,
2021-04-06,CIN,1.15742397,,,
2021-04-06,CHC,0.30580645,,,
2021-04-06,DET,0.72344437,,,
2021-04-06,SDP,0.70189099,,,
2021-04-06,TEX,1.06839827,,,
2021-04-06,NYY,0.9984917,,,
2021-04-06,BOS,0.72348485,,,
2021-04-07,SDP,0.4515873,,,
2021-04-07,BOS,0.91969112,,,
2021-04-07,OAK,0.56575683,,,
2021-04-07,WSN,0.947479,,,
2021-04-07,SEA,0.66385135,,,
2021-04-07,CLE,0.77514231,,,
2021-04-07,CHC,0.37100737,,,
2021-04-07,WSN,0.33636364,,,
2021-04-07,CIN,1.22750424,,,
2021-04-07,NYY,0.68217054,,,
2021-04-07,TEX,0.64772727,,,
2021-04-07,PHI,1.06539075,,,
2021-04-07,MIA,0.37322515,,,
2021-04-07,DET,0.7328629,,,
2021-04-07,COL,0.90988836,,,
2021-04-08,BAL,0.50980392,,,
2021-04-08,STL,0.62931034,,,
2021-04-08,PIT,0.61458333,,,
2021-04-08,CHW,0.96943973,,,
2021-04-08,MIN,1.24941724,,,
2021-04-08,HOU,0.87076649,,,
2021-04-08,NYM,0.82404951,,,
2021-04-08,COL,0.77142858,,,
2021-04-08,TOR,0.5970696,,,
2021-04-09,ARI,0.64761904,,,
2021-04-09,LAD,0.50319285,,,
2021-04-09,ATL,1.11071429,,,
2021-04-09,CLE,0.625,,,
2021-04-09,TBR,1.05357143,,,
2021-04-09,TOR,0.45777027,,,
2021-04-09,HOU,0.55417956,,,
2021-04-09,SFG,0.55714285,,,
2021-04-09,TEX,0.03571429,,,
2021-04-10,TEX,0.68138528,,,
2021-04-10,HOU,0.7761438,,,
2021-04-10,BAL,0.70571096,,,
2021-04-10,MIN,0.53214286,,,
2021-04-10,LAD,0.91025641,,,
2021-04-10,SFG,0.68627451,,,
2021-04-10,NYM,0.30952381,,,
2021-04-10,ARI,0.8295626,,,
2021-04-10,TOR,0.94070513,,,
2021-04-10,PIT,0.89375,,,
2021-04-10,ATL,0.77896613,,,
2021-04-10,STL,0.82142857,,,
2021-04-10,CLE,1.2027972,,,
2021-04-10,TBR,0.84468865,,,
2021-04-11,BAL,1.01680672,,,
2021-04-11,MIN,0.69942611,,,
2021-04-11,SFG,0.93809524,,,
2021-04-11,ATL,0.92586873,,,
2021-04-11,TBR,0.65641026,,,
2021-04-11,TEX,0.50555556,,,
2021-04-11,CLE,0.73371648,,,
2021-04-11,STL,0.64513556,,,
2021-04-11,LAD,0.56403941,,,
2021-04-11,PIT,0.92857143,,,
2021-04-11,CHW,0.60389611,,,
2021-04-11,ARI,1.09198606,,,
2021-04-11,NYM,0.95781147,,,
2021-04-12,ARI,0.61072261,,,
2021-04-12,STL,0.55502846,,,
2021-04-12,CHW,0.60446248,,,
2021-04-12,MIL,0.73321709,,,
2021-04-12,TOR,0.39338235,,,
2021-04-12,KCR,0.50556439,,,
2021-04-12,ATL,0.53333333,,,
2021-04-12,SFG,0.23271889,,,
2021-04-12,HOU,0.73232323,,,
2021-04-12,PIT,0.51838235,,,
2021-04-12,TBR,0.56575683,,,
2021-04-13,TBR,0.52020202,,,
2021-04-13,BAL,0.77521008,,,
2021-04-13,NYM,0.73333333,,,
2021-04-13,KCR,0.44009216,,,
2021-04-13,NYM,0.91851852,,,
2021-04-13,STL,1.12690952,,,
2021-04-13,ARI,0.66873065,,,
2021-04-13,LAD,1.0743034,,,
2021-04-13,HOU,0.57002457,,,
2021-04-13,TOR,0.94711538,,,
2021-04-13,MIL,0.46403941,,,
2021-04-13,MIN,0.5012407,,,
2021-04-13,BAL,0.6,,,
2021-04-13,SFG,1.09170654,,,
2021-04-13,ATL,0.87645687,,,
2021-04-13,PIT,0.89368771,,,
2021-04-13,CHW,0.24080882,,,
2021-04-14,MIN,0.53571429,,,
2021-04-14,HOU,0.68432055,,,
2021-04-14,STL,0.43529412,,,
2021-04-14,CHW,0.91463415,,,
2021-04-14,TOR,1.09752322,,,
2021-04-14,PIT,0.8088578,,,
2021-04-14,ATL,0.7745098,,,
2021-04-14,MIN,0.48076923,,,
2021-04-14,TBR,0.5882353,,,
2021-04-14,KCR,0.92710893,,,
2021-04-14,LAD,0.94312394,,,
2021-04-14,NYM,0.85143288,,,
2021-04-14,MIL,0.80397022,,,
2021-04-14,SFG,0.48888889,,,
2021-04-15,WSN,0.81148649,,,
2021-04-15,LAD,0.90962838,,,
2021-04-15,PIT,0.58455598,,,
2021-04-15,CHW,0.60375939,,,
2021-04-15,OAK,0.91963109,,,
2021-04-15,ATL,0.84478935,,,
2021-04-15,MIN,0.7047619,,,
2021-04-15,KCR,0.7486631,,,
2021-04-15,BAL,0.4916388,,,
2021-04-15,TBR,0.65765765,,,
2021-04-15,BAL,0.5224359,,,
2021-04-16,PHI,0.86348684,,,
2021-04-16,SEA,0.86348684,,,
2021-04-16,MIA,0.7016129,,,
2021-04-16,WSN,0.51904762,,,
2021-04-16,SDP,0.70631666,,,
2021-04-16,CIN,0.96907994,,,
2021-04-16,NYY,0.36818687,,,
2021-04-16,MIL,0.55765765,,,
2021-04-16,OAK,0.70036765,,,
2021-04-16,CHC,0.71034483,,,
2021-04-16,TEX,0.48897059,,,
2021-04-16,LAA,0.92123552,,,
2021-04-17,CHC,1.37593985,,,
2021-04-17,COL,0.95623342,,,
2021-04-17,CIN,0.77749843,,,
2021-04-17,COL,0.52884615,,,
2021-04-17,KCR,0.38285714,,,
2021-04-17,KCR,0.86666667,,,
2021-04-17,OAK,1.02222222,,,
2021-04-17,MIL,0.78535353,,,
2021-04-17,SEA,0.26666666,,,
2021-04-17,WSN,1.03362573,,,
2021-04-17,PHI,0.67142857,,,
2021-04-17,TEX,0.50446429,,,
2021-04-17,BOS,1.01120448,,,
2021-04-17,MIA,0.90737564,,,
2021-04-17,NYY,0.51597051,,,
2021-04-17,SDP,0.31556949,,,
2021-04-18,SEA,0.74761904,,,
2021-04-18,CIN,0.58610038,,,
2021-04-18,TEX,0.44497607,,,
2021-04-18,NYY,0.43921568,,,
2021-04-18,SDP,0.68121442,,,
2021-04-18,MIL,0.73648649,,,
2021-04-18,BOS,0.76923077,,,
2021-04-18,KCR,0.82961125,,,
2021-04-18,OAK,0.69411765,,,
2021-04-18,PHI,0.73571428,,,
2021-04-18,BOS,0.39230769,,,
2021-04-18,CHC,0.91353383,,,
2021-04-18,MIA,0.27586206,,,
2021-04-18,COL,0.33908046,,,
2021-04-18,WSN,0.65277778,,,
2021-04-19,SEA,0.61866359,,,
