OPS,temp,precip,wind_spd,humidity,pressure,cloud,visibility,uv
0.76842105,68,0.0,12.079476,8,826.9,0,9.9,2
0.59883721,55.9,0.0,10.513618,48,1012.1,0,9.9,0.7
1.13157895,52,0.0,8.052984,21,1003.5,0,9.9,2.2
0.22903226,79.3,0.231496,28.632832,76,1012.8,88,,1
0.64090909,32,0.0,23.040482,41,1010.053,0,,1.9
0.63888889,46.9,0.0,46.528352,33,1013.8,87,9.9,2
0.94906743,36,0.0,23.040482,43,1011.9,100,9.9,1.1
0.58571429,35.1,0.0,31.093466,36,1005.4,87,9.9,1.4
0.55238096,73,0.0,33.5541,31,1008.6,0,9.9,2.1
1.00400641,80.1,0.0,7.605596,16,1009.8,87,9.9,1.8
0.54982579,46,0.0,25.501116,36,1007.5,87,9.9,1.5
0.59411765,82.9,0.0,15.434886,9,1006,0,9.9,1.1
0.33566433,32.7,0.0,18.119214,58,1010.0507,0,,1.9
0.72222222,72,0.0,33.5541,56,1018.5,87,,1.1
0.23248054,35.2,0.0,21.922012,40,1019.3,94,,0.7
0.98015873,66,0.0,18.119214,65,1015.8,25,9.9,1.9
0.75757575,57.9,0.0,44.067718,64,1013.7,50,9.9,2
0.81071429,70,0.0,15.434886,52,1012.1,0,9.9,1.9
0.84169884,71.6,0.0,4.026492,8,826.9,25,9.9,2
0.57603687,55.9,0.0,10.513618,41,1017.5,100,9.9,0.7
0.13571429,49.8,0.0,10.513618,33,994.7471,0,,1.9
0.80098684,64,0.0,36.014734,28,994.8,0,9.9,2.2
0.90417457,60.1,0.047244,20.579848,43,1018.9,87,9.9,0.6
0.75555556,52,0.023622,20.579848,20,1023.3,87,9.9,0.7
1.19523809,70.2,0.0,31.093466,54,1022.5,88,,1
0.51269451,46.2,0.0,2.013246,30,1020.1,0,,1.9
0.73852813,71.1,0.0,12.974252,43,1014.5,50,9.9,2
0.98188153,63,0.0,31.093466,24,1005.9,0,9.9,2.5
0.84320558,52,0.0,18.119214,15,1017.9,0,9.9,1.7
0.84738676,64,0.0,25.501116,67,1018.2,25,9.9,1.9
0.7249104,64,0.0,18.119214,36,995.81366,0,,1.9
0.36059114,57,0.0,33.5541,57,1018.1,87,9.9,0.7
0.77027027,75.2,0.0,7.605596,8,828.6,25,9.9,2
1.13928571,73.9,0.0,31.093466,29,992.3,0,9.9,2.2
0.4398827,57,0.0,38.475368,61,1016.7,87,9.9,0.7
0.7,68,0.0,38.475368,22,1013.1,50,9.9,1.7
0.50347222,46.6,0.0,36.014734,43,993.57196,71,,1
0.37536657,77,0.0,36.014734,11,824,87,9.9,1
0.46296297,63,0.0,18.119214,29,998.4,0,9.9,2.4
0.55337691,65.3,0.0,18.119214,40,993.9128,33,,1.5
0.43792766,62.1,0.0,10.513618,24,1012.87,25,9.9,1.4
0.97575758,70,0.0,18.119214,49,1011.4,87,9.9,1.3
0.88838612,72,0.0,10.513618,32,1002.2,0,9.9,2.5
0.62828947,66.9,0.0,12.974252,58,1015.2,25,9.9,1.9
0.57232143,56.8,0.0,25.948504,28,1009.9,0,,1.9
0.58333333,79,0.0,33.5541,33,988,0,9.9,2.2
1.10230352,55,0.0,27.96175,39,1007.3,99,,0.6
0.41666667,55,0.0,10.513618,32,1020.2,0,9.9,2.1
0.59939148,69.1,0.0,48.988986,19,1012.1,87,9.9,0.6
0.78777589,66.9,0.0,31.093466,13,1005.4,0,9.9,2
0.52786377,54,0.0,33.5541,71,1013.3,87,9.9,1.7
0.74324324,55.9,0.0,18.119214,57,993.5,50,9.9,1.1
0.77259684,66,0.0,23.040482,56,1007.7,0,9.9,0.8
0.42211982,72.1,0.0,28.632832,52,1018.6,44,,1.8
0.36160714,55.9,0.0,12.974252,48,995,100,9.9,0.8
0.94212963,67.3,0.0,19.908766,55,988.1254,12,,1.8
0.60278746,63,0.0,15.434886,65,1012.5,87,9.9,1.4
0.82695374,75,0.0,23.040482,30,997.5,0,9.9,1.1
0.41607143,75.2,0.0,20.579848,44,992.1,50,9.9,0.8
0.5972973,59,0.0,7.605596,31,1016.5,0,9.9,0.9
0.58617424,69.1,0.0,15.434886,50,1010.7,0,9.9,0.6
0.74686882,72,0.0,33.5541,15,1011.4,25,9.9,2
0.45588235,55.9,0.0,36.014734,66,1015,25,9.9,2
0.6,72.9,0.0,31.093466,56,1017.4,26,,2.2
0.79638009,77.5,0.0,2.460634,31,1012,49,,1.4
0.80319149,39.2,0.210236,33.5541,86,820,100,9.9,0.6
1.15742397,73.9,0.0,23.040482,42,996.2,50,9.9,2.4
0.30580645,72,0.0,16.105968,41,987.3365,76,,0.9
0.72344437,77,0.0,25.501116,38,988.8,0,9.9,0.9
0.70189099,64.9,0.0,15.434886,65,1014.8,87,9.9,1.9
1.06839827,80.6,0.0,38.475368,50,985.1,0,9.9,0.9
0.9984917,69.1,0.0,12.974252,7,1006.8,0,9.9,1.9
0.72348485,50,0.0,10.06623,62,1011.1,87,,0.8
0.4515873,66,0.0,15.434886,69,1016.5,87,9.9,0.7
0.91969112,50.9,0.0,6.039738,69,1015.8,89,,0.7
0.56575683,55.9,0.0,38.475368,61,1018.7,25,9.9,2
0.947479,77.5,0.0,7.605596,38,1011.5,57,,1.3
0.66385135,46.9,0.0,25.501116,76,1016.2,100,9.9,0.7
0.77514231,57,0.0,25.501116,71,991,0,8.1,1.9
0.37100737,68,0.023622,8.052984,62,983.26086,91,,0.7
0.33636364,77.5,0.0,7.605596,38,1011.5,57,,1.3
1.22750424,78.1,0.0,28.632832,41,993.2,50,9.9,1
0.68217054,66.9,0.0,10.513618,30,1009.1,0,9.9,1.9
0.64772727,77,0.0,18.119214,20,988.4,0,9.9,2.5
1.06539075,70,0.0,2.013246,32,1013.1,25,9.9,2
0.37322515,73.9,0.0,18.119214,53,1016.6,80,,1.2
0.7328629,77,0.0,31.093466,38,988.5,0,9.9,1.6
0.90988836,60.8,0.0,40.936002,18,822.3,50,9.9,2.1
0.50980392,64.8,0.0,18.119214,56,1015.3,44,,1.5
0.62931034,53.1,0.023622,12.974252,82,988.8,100,9.9,0.6
0.61458333,75.9,0.0,40.936002,34,962.5,0,9.9,0.7
0.96943973,54.7,0.047244,29.974996,86,979.6098,86,,0.8
1.24941724,57.9,0.0,28.632832,69,965.6,100,9.9,0.7
0.87076649,82.4,0.0,36.014734,58,998.9,0,6.8,2.4
0.82404951,64.9,0.0,31.093466,41,1017.2,25,9.9,2
0.77142858,68,0.0,51.44962,11,816.3,50,9.9,1.4
0.5970696,62.6,0.0,51.44962,48,1000.8,0,8.7,2.1
0.64761904,91.9,0.0,28.632832,4,967.8,25,9.9,1.8
0.50319285,68,0.0,10.513618,52,1005.8,0,9.9,2
1.11071429,72.3,0.0,25.501116,57,975,100,9.9,1.3
0.625,77,0.0,33.5541,29,988,0,9.9,1.1
1.05357143,77,0.0,23.040482,57,1014.3,0,9.9,2.4
0.45777027,53.6,0.0,33.5541,81,1003.2,2,8.7,2
0.55417956,75.2,0.0,28.632832,83,994.8,100,6.2,1.2
0.55714285,53.1,0.0,25.501116,72,1016.2,10,,2
0.03571429,82.4,0.092126,23.040482,54,979.4,0,9.9,1.6
0.68138528,71.6,0.0,20.579848,21,988.4,0,9.9,2.5
0.7761438,80.6,0.0,28.632832,24,997.9,0,9.9,2.7
0.70571096,63.7,0.0,15.434886,79,1008.2,100,,0.7
0.53214286,48,0.0,31.093466,62,973.2,100,9.9,0.7
0.91025641,66.9,0.0,7.605596,52,1002.8,0,9.9,0.9
0.68627451,60.8,0.0,2.460634,64,1012.8,17,,1.9
0.30952381,63,0.0,28.632832,65,1010.1,100,9.9,0.6
0.8295626,91,0.0,18.119214,6,965.2,50,9.9,1.7
0.94070513,59,0.0,36.014734,72,996.1,68,8.7,0.7
0.89375,73.9,0.0,38.475368,44,957.6,0,9.9,0.7
0.77896613,68.9,0.0,18.119214,69,965.8,87,9.9,0.8
0.82142857,48.9,0.047244,44.067718,86,983.8,100,3.7,0.6
1.2027972,81,0.0,28.632832,27,978,0,9.9,0.7
0.84468865,66,0.493701,31.093466,89,1013,100,5,0.9
1.01680672,70.7,0.0,20.579848,66,995.5,54,,1.4
0.69942611,54,0.0,18.119214,64,970.9,100,9.9,0.8
0.93809524,54.5,0.0,18.119214,69,1008.2,99,,0.7
0.92586873,73.6,0.0,28.632832,27,965.4,0,9.9,2.7
0.65641026,66.9,0.120473,28.632832,87,1006.2,87,9.9,1.3
0.50555556,84.2,0.0,25.501116,17,982.8,0,9.9,2.5
0.73371648,57,0.0,23.040482,68,977.3,100,9.9,0.8
0.64513556,69.1,0.0,36.014734,26,986.1,0,9.9,2.1
